case_id,case_title,case_text,Case_type,Sub_type,pos,neg,neu,compound,sentimental_variable
Case16,Deputy Commissioner of Taxation v Visidet Pty Ltd [2005] FCA 830,"None of this is to suggest that the Deputy Commissioner was under any obligation to accept the proffered cheque. When the history of Ganter's endeavours to pay the debt after the filing of the winding up application is recalled and that the company was, by operation of s 459C(2)(a) the Corporations Act 2001 presumed to be insolvent the Deputy Commissioner would have been entitled not to accept the cheque. A refusal to accept the cheque would not have eliminated the debt in question: Australian Mid-Eastern Club Ltd v Yassim (1989) 1 ACSR 399 , at 403 (NSWCA); Deputy Commissioner of Taxation v Visidet Pty Ltd [2005] FCA 830 at [3] per Gyles J. 21 In my opinion, the date for the determination of standing to apply for the winding up of a company is the date when the application is made. As it was when Motor Terms v Liberty Insurance (supra) was decided, the process for the winding up of a company remains today entirely statutory. By s 459A(1)(b) of the Corporations Act a creditor is one of the persons who may apply for the winding up of a company. The application for the winding up of Ganter was made by the Deputy Commissioner upon the filing of the application in this Court on 20 August 2008. At that time, the Deputy Commissioner was, on any view, a creditor. Like Gyles J in Deputy Commissioner of Taxation v Visidet Pty Ltd (at [5]), I am not persuaded that there is any requirement flowing from the Corporations Act that the applicant must continue to be a creditor at the time when the winding up application is heard. As his Honour there states (ibid), and though it is cited in a number of cases which he notes, the passage from the judgement of Menzies J in Motor Terms v Liberty Insurance (supra) does not support the existence of any such requirement. 22 The true position is that the applicant's status as a creditor at the time when the application was made and the presumption flowing from the company's failure to comply with the terms of a statutory demand are sufficient to give the Court jurisdiction to order the winding up of the company. That was the conclusion reached by Zeeman J in Deputy Commissioner of Taxation v Guy Holdings Pty Ltd (1994) 116 FLR 314 at 318. As did Gyles J in Deputy Commissioner of Taxation v Visidet Pty Ltd (at [6]), I agree with that conclusion. As Zeeman J observed in the Guy Holdings Case (at 320), ""in the case of an application under s 459P where the debt the subject of the statutory demand has been paid after the filing of the application, the application ought to be dismissed unless there is established some positive reason that a winding up order ought to be made"". His Honour is there referring to the way in which, in those circumstances, the discretion vested in the Court on the hearing of a winding up application by s 467 of the Corporations Act would ordinarily be exercised. 24 In their submissions the solicitors for the company pointed to the observation made by Gyles J in Deputy Commissioner of Taxation v Visidet Pty Ltd (at [8]), ""With trading companies the existence of a winding up proceeding is a very serious inhibition and has very serious impacts"". I respectfully agree. That is one reason why it behoves a company which wishes to keep trading to pay its debts as they fall due or at least later to comply with the terms of a statutory demand. It is also a reason why, all other things being equal, a Court would be disposed, as a matter of discretion, to dismiss a winding up application if satisfied that the debt owed to the applicant creditor had been paid. Another consideration not to be ignored is the protection of the revenue. Yet another consideration is that Ganter, by its solicitors, initially agreed with the Deputy Commissioner's proposal that on 13 November 2008 the adjournment of the application for one week ought to be sought. A further consideration is the public interest in whether a company which is presumed to be insolvent ought to be permitted to continue to trade or whether it ought to be wound up. 25 Ganter's change of heart as to the course which ought to be taken on 13 November 2008 seems to have been multi-factorial in origin. Inferentially from the submissions made to me and to the District Registrar it was founded upon what I regard as the misapprehension that the payment of an applicant creditor's debt obliged the Court to dismiss a winding up application, as opposed to that being a factor going to discretion. Likewise, it seems to have been grounded on the belief that the acceptance of the bank cheque by the Deputy Commissioner extinguished the debt then and there, as opposed to so doing upon the fulfilment of the condition subsequent of the cheque's being cleared. Further, it seems to have been grounded upon the belief that, the cheque payment having been recorded as a credit on 11 November 2008 in its accounts, the Deputy Commissioner was obliged, as a ""model litigant"" to agree to the dismissal of the winding up application on 13 November 2008. 26 This, with respect, misapprehends the obligation that falls on those representing the interests of the Crown in civil litigation. One of those interests, and it is a vital interest, is the protection of the revenue. The Deputy Commissioner would certainly have failed in his duty to the Court as a model litigant had the acceptance of the cheque and the terms upon which it had been accepted not been drawn to the Court's attention on 13 November 2008. It was. Especially as matters then stood as to the clearing of the bank cheque and the Deputy Commissioner's knowledge as to the practice of the NAB in relation to the circumstances in which it would not meet a bank cheque and the time within which any such disposition on the part of the bank would usually be signified, it was not unreasonable for the Deputy Commissioner to resist the dismissal of the application that day. The position then to take was a matter for the value judgement of the Deputy Commissioner in the circumstances in the administration of the taxation laws. The entry in the accounts of the ATO had no more than a provisional quality about it.",Criminal Case,Murder,0.083,0.042,0.876,0.9933,6.43855
Case17,Deputy Commissioner of Taxation v Guy Holdings Pty Ltd [1994] TASSC 126 ; (1994) 116 FLR 314; (1994) 14 ACSR 580,"The true position is that the applicant's status as a creditor at the time when the application was made and the presumption flowing from the company's failure to comply with the terms of a statutory demand are sufficient to give the Court jurisdiction to order the winding up of the company. That was the conclusion reached by Zeeman J in Deputy Commissioner of Taxation v Guy Holdings Pty Ltd (1994) 116 FLR 314 at 318. As did Gyles J in Deputy Commissioner of Taxation v Visidet Pty Ltd (at [6]), I agree with that conclusion. As Zeeman J observed in the Guy Holdings Case (at 320), ""in the case of an application under s 459P where the debt the subject of the statutory demand has been paid after the filing of the application, the application ought to be dismissed unless there is established some positive reason that a winding up order ought to be made"". His Honour is there referring to the way in which, in those circumstances, the discretion vested in the Court on the hearing of a winding up application by s 467 of the Corporations Act would ordinarily be exercised.",Criminal Case,Rape,0.075,0.048,0.877,0.7717,5.6739500000000005
Case19,Motor Terms Co Pty Ltd v Liberty Insurance Ltd [1967] HCA 9 ; (1967) 116 CLR 177,"Assuming that the Deputy Commissioner ought presently to be regarded as an applicant whose debt has been paid, it does not, with respect, seem to me to follow that the application must therefore necessarily be dismissed. In his judgment in Motor Terms Co Pty Ltd v Liberty Insurance Ltd [1967] HCA 9 ; (1967) 116 CLR 177 , at 194-195, Menzies J, in what is strictly an obiter dictum , opined: In the course of argument upon this appeal, reference was made to the consequence of a petitioning creditor being paid off between the presentation of the petition and the making of an order. That circumstance would not, in my opinion, put an end to the petition nor would it affect the jurisdiction of the court to hear and determine the petition although, of course, in such circumstances proceedings might not be continued and, if they were, the court could, in the exercise of its discretion, refuse to make a winding up order upon the petition of a person not then a creditor. In that same case, Barwick CJ (at 179) also seems to have been of the view that, under the then statutory regime for the winding up of a company, the date for the determination of whether a petitioner was a creditor was the date of presentation of the winding up petition. 21 In my opinion, the date for the determination of standing to apply for the winding up of a company is the date when the application is made. As it was when Motor Terms v Liberty Insurance (supra) was decided, the process for the winding up of a company remains today entirely statutory. By s 459A(1)(b) of the Corporations Act a creditor is one of the persons who may apply for the winding up of a company. The application for the winding up of Ganter was made by the Deputy Commissioner upon the filing of the application in this Court on 20 August 2008. At that time, the Deputy Commissioner was, on any view, a creditor. Like Gyles J in Deputy Commissioner of Taxation v Visidet Pty Ltd (at [5]), I am not persuaded that there is any requirement flowing from the Corporations Act that the applicant must continue to be a creditor at the time when the winding up application is heard. As his Honour there states (ibid), and though it is cited in a number of cases which he notes, the passage from the judgement of Menzies J in Motor Terms v Liberty Insurance (supra) does not support the existence of any such requirement.",Criminal Case,Rape,0.053,0.039,0.908,0.8925,6.10975
Case21,Appellant S395/2002 v Minister for Immigration and Multicultural Affairs; Appellant S396/2002 v Minister for Immigration and Multicultural Affairs [2003] HCA 71 ; (2003) 216 CLR 473,"am satisfied that the finding of the third Tribunal that the two appellants are not, and were not, homosexuals was not made in the exercise of honest fact finding, but was deliberately calculated to ""get around"" difficulties in the factual circumstances of the appellants' case, thrown up by the judgment of the High Court in Appellant S395/2002 v Minister for Immigration and Multicultural Affairs; Appellant S396/2002 v Minister for Immigration and Multicultural Affairs [2003] HCA 71 ; (2003) 216 CLR 473 ( Appellant S395/2002 ). The appellants are Bangladeshi nationals. They came to Australia, arriving on 19 February 1999. They sought protection visas on 4 March 1999, claiming that they were homosexuals who had lived together as a couple since 1994, and that they had been subjected to persecution in Bangladesh because of their homosexuality. A delegate of the Minister for Immigration and Citizenship found, on 23 April 1999, that the applicant born on 1 July 1973 (NAOX, or the younger Bangladeshi), was a ""citizen of Bangladesh"", accepted ""as plausible the applicant's claim that he is a homosexual"", but was ""unable to accept there is a real chance that he will be persecuted on that ground in Bangladesh"". The delegate said: In his circumstances, if he believes that his homosexuality, and his relationship, would not be acceptable to the community in which he is living, it is only reasonable to believe that he should be discreet about such matters. It is important to have regard to the issues before the High Court in Appellant S395/2002 : The [first] Tribunal accepted that the appellants were homosexual, and that homosexual men in Bangladesh are a particular social group for the purposes of the Convention Relating to the Status of Refugees , as amended by the Protocol relating to the Status of Refugees , as amended by the Protocol relating to the Status of Refugees 1967. However, the Tribunal rejected most of the claims made by the appellants as to the persecution they had suffered in Bangladesh, including claims that they had experienced threats and violence over many years. It found that they had not in the past suffered serious harm by reason of their homosexuality, observing that they had ""clearly conducted themselves in a discreet manner and there is no reason to suppose that they would not continue to do so if they returned home now"". Further: The [Tribunal] rejected their claim to have a well-founded fear of persecution in Bangladesh by reason of their homosexuality. The Tribunal rejected most of their individual claims, but accepted that it was not possible to live openly as a homosexual in Bangladesh. It found, however, that the applicants had ""clearly conducted themselves in a discreet manner and there is no reason to suppose that they would not continue to do so if they returned home now"". The applicants contended that the Tribunal had erred in law by imposing upon them a requirement that they live discreetly in order to avoid persecution. All the members of the High Court held that the (first) Tribunal: ... had not imposed a requirement that the applicants live discreetly if they returned to Bangladesh. It had made a finding of fact that they would live discreetly. That finding did not itself involve error.",Criminal Case,Murder,0.054,0.099,0.847,-0.9866,-0.40810000000000013
Case22,Minister for Immigration and Multicultural Affairs v Wang (2003) 215 CLR 518,"is plain that, where an order is set aside, and a matter is remitted to the Tribunal for reconsideration, there is nothing on which any issue estoppel can be founded: Morales v Minister for Immigration and Multicultural Affairs [1998] FCA 334 ; (1998) 82 FCR 374 ; Minister for Immigration and Multicultural Affairs v Wang (2003) 215 CLR 518. It is perhaps understandable, in the light of the history of the proceedings from the decision of the delegate all the way to the High Court, but very unfortunate, that counsel for the appellants should have sought to argue issue estoppel.",Criminal Case,Kidnapping,0.01,0.071,0.919,-0.8171,0.20114999999999972
Case23,Morales v Minister for Immigration and Multicultural Affairs [1998] FCA 334 ; (1998) 82 FCR 374,"is plain that, where an order is set aside, and a matter is remitted to the Tribunal for reconsideration, there is nothing on which any issue estoppel can be founded: Morales v Minister for Immigration and Multicultural Affairs [1998] FCA 334 ; (1998) 82 FCR 374 ; Minister for Immigration and Multicultural Affairs v Wang (2003) 215 CLR 518. It is perhaps understandable, in the light of the history of the proceedings from the decision of the delegate all the way to the High Court, but very unfortunate, that counsel for the appellants should have sought to argue issue estoppel.",Criminal Case,Kidnapping,0.01,0.071,0.919,-0.8171,0.20114999999999972
Case25,Re Minister for Immigration &amp; Multicultural Affairs; Ex parte Durairajasingham [2000] HCA 1 ; (2000) 168 ALR 407,"J in Re Minister for Immigration &amp; Multicultural Affairs; Ex parte Durairajasingham [2000] HCA 1 ; (2000) 168 ALR 407 said, at [67]: ... a finding as to whether the prosecutor should be believed in his claim a finding on credibility ... [is] the function of the primary decision-maker par excellence. If the primary decision-maker has stated that he or she does not believe a particular witness, no detailed reasons need to be given as to why that particular witness was not believed. The tribunal must give the reasons for its decision, not the sub-set of reasons why it accepted or rejected individual pieces of evidence.",Criminal Case,Murder,0.055,0.048,0.897,0.1779,3.61565
Case26,TCN Channel Nine Pty Ltd v Australian Broadcasting Tribunal (1992) 28 ALD 829,"I find that the decision was perverse to such an extent as to exhibit a serious failure in the decision making process, with the consequences that the decision was so unreasonable that it was beyond power: see TCN Channel Nine Pty Ltd v Australian Broadcasting Tribunal (1992) 28 ALD 829 at 861.",Civil Case,Breach of Contract,0.0,0.131,0.869,-0.7506,0.5039000000000002
Case28,Waterford v Commonwealth [1987] HCA 25 ; (1987) 163 CLR 54,"J, as he then was, said in Waterford v Commonwealth [1987] HCA 25 ; (1987) 163 CLR 54 , at 77: There is no error of law simply in making a wrong finding of fact. A finding, which purports to be a finding of fact, is not rendered immune from judicial examination, if it is not made in good faith, but for an ulterior purpose: in this case, in the light of the remittal to the Tribunal by the High Court, to ""get around"" the factual findings that had earlier been made, in the enquiry as to whether the appellants were entitled to the issue of protection visas. Whether the decision of the third Tribunal be regarded as unreasonable in the Wednesbury corporation sense, or on the basis that the decision was not made in good faith, or on the basis that there was a lack of impartiality in the fact-finding process, the decision of the third Tribunal has to be set aside.",Criminal Case,Murder,0.056,0.064,0.879,-0.0969,2.66585
Case29,Elderslie Finance Corp Ltd v Australian Securities Commission (1993) 11 ASCR 157,,,,0.0,0.0,0.0,0.0,0.0
